"station_name_tw","line_name","address","lat","lon"
"台北車站","板南線","台北市中正區忠孝西路一段49號",25.046255,121.517532
"善導寺","板南線","台北市中正區忠孝東路一段58號B1",25.044823,121.523208
"忠孝新生","板南線","台北市大安區新生南路一段67號",25.042356,121.532905
"忠孝復興","板南線","台北市大安區忠孝東路四段47號",25.041629,121.543767
"忠孝敦化","板南線","台北市大安區忠孝東路四段182號",25.041478,121.551098
"國父紀念館","板南線","台北市信義區忠孝東路四段400號",25.041349,121.557802
"市政府","板南線","台北市信義區忠孝東路五段2號",25.041171,121.565228
"永春","板南線","台北市信義區忠孝東路五段455號",25.040859,121.576293
"後山埤","板南線","台北市南港區忠孝東路六段2號",25.045055,121.582522
"昆陽","板南線","台北市南港區忠孝東路六段451號",25.050461,121.593268
"南港","板南線","台北市南港區忠孝東路七段380號",25.052116,121.606686
"南港展覽館","板南線","台北市南港區研究院路一段1號",25.055288,121.6175001
"大坪林","環狀線","新北市新店區北新路三段190號",24.982899,121.541352
"十四張","環狀線","新北市新店區民權路282號",24.9829302,121.5340099
"秀朗橋","環狀線","新北市中和區景平路2號",24.9905493,121.5250505
"景平","環狀線","新北市中和區景平路121號",24.9919681,121.5165532
"景安","環狀線","新北市中和區景平路486號",24.993905,121.505113
"中和","環狀線","新北市中和區中山路二段271號",25.0019806,121.4960519
"橋和","環狀線","新北市中和區板南路430號",25.0044131,121.4904608
"中原","環狀線","新北市中和區板南路510號",25.0084104,121.4841593
"板新","環狀線","新北市板橋區板新路109號",25.0144914,121.4722124
"板橋","環狀線","新北市板橋區新站路66號",25.015156,121.464825
"新埔民生","環狀線","新北市板橋區民生路三段70號",25.026125,121.466839
"頭前庄","環狀線","新北市新莊區思源路20號",25.039735,121.461655
"幸福","環狀線","新北市新莊區思源路292號",25.050282,121.460216
"新北產業園區","環狀線","新北市新莊區五工路35號",25.0615483,121.4599257
"台北車站","機場線","台北市中正區鄭州路8號",25.0491868,121.515245
"三重","機場線","新北市三重區捷運路36號",25.0552963,121.4813901
"新北產業園區","機場線","新北市新莊區五工路37號",25.061716,121.4567028
"新莊副都心","機場線","新北市新莊區新北大道四段188號",25.0591305,121.4434732
"泰山","機場線","新北市泰山區新北大道四段431號",25.0532726,121.4373407
"泰山貴和","機場線","新北市泰山區新北大道六段460號",25.0334752,121.4201443
"林口","機場線","新北市林口區八德路290號",25.0665023,121.3590943
