Name,District,Address,Lon,Lat
全聯福利中心新店建國門市,新店區,新北市新店區建國路210號 ,121.537788,24.980951
全聯福利中心中平門市,新莊區,新北市新莊區中平路82巷27號 ,121.446316,25.044992
全聯福利中心新莊龍安門市,新莊區,新北市新莊區中正路893巷2之1號 ,121.413133,25.020969
全聯福利中心新莊門市,新莊區,新北市新莊區中和街188號地下室 ,121.447594,25.049978
全聯福利中心中港門市,新莊區,新北市新莊區中華路二段1號地下1樓 ,121.453357,25.045016
全聯福利中心公園門市,新莊區,新北市新莊區公園路129號 ,121.457414,25.040844
全聯福利中心新莊化成門市,新莊區,新北市新莊區化成路71號 ,121.465446,25.046028
全聯福利中心新莊民安門市,新莊區,新北市新莊區民安西路309號 ,121.42710509,25.01150743
全聯福利中心鴻金寶門市,新莊區,新北市新莊區民安路188巷5號之2 ,121.424787,25.023239
全聯福利中心西盛門市,新莊區,新北市新莊區西盛街202號 ,121.428037,25.018208
全聯福利中心新莊昌盛門市,新莊區,新北市新莊區昌盛街105號1樓 ,121.456435,25.050024
全聯福利中心新莊建國門市,新莊區,新北市新莊區建國一路53號 ,121.434521,25.030399
全聯福利中心新莊後港門市,新莊區,新北市新莊區後港一路68號 ,121.426675,25.026502
全聯福利中心新莊復興門市,新莊區,新北市新莊區復興路2段47號 ,121.454735,25.044311
全聯福利中心新莊新泰門市,新莊區,新北市新莊區新泰路85號地下樓 ,121.448822,25.034547
全聯福利中心大觀門市,板橋區,新北市板橋區大觀路3段236號B1 ,121.42979,24.992241
全聯福利中心板橋中山門市,板橋區,新北市板橋區中山路2段326號 ,121.481125,25.019727
全聯福利中心板橋中正門市,板橋區,新北市板橋區中正路1巷28號 ,121.454706,25.011417
全聯福利中心文聖門市,板橋區,新北市板橋區文聖街73號1+2樓 ,121.477291,25.030543
全聯福利中心板橋長江門市,板橋區,新北市板橋區民生路3段323號B1之4、B1之5 ,121.463237,25.031338
全聯福利中心板橋新埔門市,板橋區,新北市板橋區光武街61號 ,121.467425,25.025703
全聯福利中心板橋江寧門市,板橋區,新北市板橋區江寧路3段29號1樓 ,121.471067,25.03176
全聯福利中心板橋溪洲門市,板橋區,新北市板橋區金門街295號B1 ,121.430226,24.986628
全聯福利中心雨農門市,板橋區,新北市板橋區雨農路27巷2號 ,121.461183,25.024125
全聯福利中心板橋國慶門市,板橋區,新北市板橋區重慶路247號1樓 ,121.46337,25.00055
全聯福利中心板橋國光門市,板橋區,新北市板橋區國光路57號地下1樓 ,121.458481,25.018024
全聯福利中心江子翠門市,板橋區,新北市板橋區雙十路2段209號B1 ,121.473171,25.028925
全聯福利中心林口竹林門市,林口區,新北市林口區竹林路12號 ,121.386968,25.07733
全聯福利中心樹林中山門市,樹林區,新北市樹林區中山路1段29-1.31號 ,121.424367,24.992877
